Total outdoor recreation value added (thousands of dollars),Total outdoor recreation employment,Total outdoor recreation compensation (thousands of dollars),Accommodation and food services value added,Accommodation and food services employment,Accommodation and food services compensation,Vehicle Trips,state_name,state_abbv
6589810,65409,2963564,872220,13335,428590,136077142,Alabama,AL
3140446,21242,1546654,484165,5672,266655,0,Alaska,AK
14082598,110794,6677548,2497418,28473,1268011,51537440,Arizona,AZ
4503775,40987,2010246,616951,9538,286275,86271723,Arkansas,AR
81495632,545448,38141606,11538652,118110,6071013,73650366,California,CA
17154855,132594,8558320,2974582,30326,1447091,29787776,Colorado,CO
5528116,49011,2500902,759373,8215,334874,130468458,Connecticut,CT
1610473,15550,730235,368035,4907,186549,95410884,Delaware,DE
1489475,12470,901538,578651,4798,291929,236241049,District of Columbia,DC
57803194,469357,28734838,10766934,111819,5153873,139466247,Florida,FL
18468135,161816,9302498,2522256,33375,1217658,199257079,Georgia,GA
6907411,49047,3176108,1821605,16119,926542,0,Hawaii,HI
3957236,37478,1832327,664301,8450,291461,49125472,Idaho,ID
24352624,172889,11516556,3064127,28839,1261953,278264407,Illinois,IL
15741270,105078,6427697,886059,13929,466998,217827137,Indiana,IN
5338394,46128,2189590,415454,6689,200029,118520806,Iowa,IA
4678493,38216,1821184,420184,6494,201138,145570810,Kansas,KS
5574825,51897,2535851,810274,11149,368069,197925268,Kentucky,KY
9243125,56386,3078382,840149,12029,407059,70745275,Louisiana,LA
3431843,29863,1513262,1039550,10215,489565,31856172,Maine,ME
9444097,81615,4493729,1345145,14496,615512,359976184,Maryland,MD
13188298,103629,6544815,2135147,17149,893064,253196778,Massachusetts,MA
13943867,118252,6360818,1514140,19419,705179,86079058,Michigan,MI
13540058,95937,5898770,1111120,13899,511417,96788434,Minnesota,MN
4002726,35156,1529523,419524,7259,201605,122836078,Mississippi,MS
9891239,86466,4751132,1129654,15970,605978,236110378,Missouri,MO
3388638,30915,1644252,732367,9641,427971,7003705,Montana,MT
3356089,29143,1475385,302406,4511,144404,53605948,Nebraska,NE
8120315,58425,3596985,1373514,13675,641621,53112805,Nevada,NV
3864151,31917,1687139,1057832,8172,350298,145245566,New Hampshire,NH
14504598,122798,7349333,1462897,17556,781365,424373204,New Jersey,NJ
3185964,29182,1462739,644201,9036,332925,38050650,New Mexico,NM
33851222,247330,17012126,6696648,53405,2923802,406624502,New York,NY
16173790,145433,7721857,2111931,30082,1072286,178444612,North Carolina,NC
1601982,14493,705556,260559,3153,104173,32790958,North Dakota,ND
19262357,147986,8015170,1608992,23669,785653,218835914,Ohio,OH
5538395,47874,2382411,429411,7919,245097,63872558,Oklahoma,OK
8370532,72925,4358538,1387986,16994,702400,101381092,Oregon,OR
18936759,168322,8743882,1990642,25972,977189,345167440,Pennsylvania,PA
1893161,17828,900245,537791,5459,234022,95261756,Rhode Island,RI
8609800,86211,4220434,1868381,22941,865701,159181894,South Carolina,SC
1924498,17969,782192,419166,4800,150673,23480591,South Dakota,SD
13049507,103618,5331870,2441558,25226,973179,235306550,Tennessee,TN
55830522,389128,22098569,4862324,62736,2353200,141085355,Texas,TX
9474257,71898,4276460,1086959,14009,540427,20297399,Utah,UT
2099022,16283,849231,733577,6275,278500,33142300,Vermont,VT
13419379,122405,6558520,1896491,24865,974761,266625062,Virginia,VA
22515730,121445,9941601,2077001,19308,878000,106810674,Washington,WA
2074250,20326,863972,310412,4517,142728,122549187,West Virginia,WV
11242913,96867,5383894,1152637,16839,565878,124410715,Wisconsin,WI
2153155,15798,803275,508923,6229,271515,10592676,Wyoming,WY
